'Alas Nacionales'
'Alyeska Air Service'
'Alta Flights (Charters) Ltd.'
'Air Sunshine'
'ATMA'
'Aerolineas Medellin'
'Ameriflight'
'Air Libert'
'Air Lithuania'
'Air Minas Linhas A'
'Alan Mann Helicopters Ltd.'
'Air Maldives'
'Aviation Amos'
'Amerer Air'
'Air Malawi'
'Aeroputul International Marculesti'
'Air Montenegro'
'Air Montreal (Air Holdings Inc.)'
'Aero Transporte S.A. (ATSA)'
'Aeromedicare Ltd.'
'Air Sicilia'
'Air Specialties Corporation'
'Air Muskoka'
'ATA Airlines'
'Air Macau'
'AMC Airlines'
'Air Midwest'
'Air Seychelles'
'Air Sofia'
'AeroMéxico'
'Air Ambar'
'Amiya Airline'
'All Nippon Airways'
'Air Navigation And Trading Co. Ltd.'
'Anglo Cargo'
'Air Nostrum'
'Air Niugini'
'Air Arabia'
'Air Canada'
'Airport Bratsk'
'Air Wings'
'Air Baltic'
'Alajnihah for Air Transport'
'Air Atlantic (Nig) Limited'
'Air Nippon'
'Antares Airtransport'
'Airnorth'
'Aerol'
'Andes Lineas Aereas'
'Air North Charter - Canada'
'Air Nevada'
'AOM French Airlines'
'Aviacion Del Noroeste'
'Air New Zealand'
'Avia Jaynar'
'Aero Servicios Empresariales'
'Alcon Servicios Aereos'
'AVCOM'
'Aero Vodochody'
'Air One Executive'
'Atair Pty Ltd.'
'Aero VIP'
'Aeromundo Ejecutivo'
'Aerolinea Muri'
'Astoria'
'Aero Rent JSC'
'Aeronord-Grup'
'Aeroatlantico Colombia'
'Angkor Airlines'
'Aero Entreprise'
'As'
'Aeropiloto'
'Aeroenlaces Nacionales'
'Aerovis Airlines'
'Avjet International (FZE)'
'Aerovista Gulf Express'
'Air Vegas'
'Almaver'
'Afro International Ent. Limited'
'Alitalia Express'
'Asia Overnight Express'
'Air Tractor'
'Aero Vision'
'Aerotaxi Del Valle'
'Air Park Aviation Ltd.'
'Airpac Airlines'
'Aeroservicios Monterrey'
'Amapola Flyg AB'
'Air People International'
'Alpha Aviation'
'ASA Pesada'
'Air Print'
'Atlantic Airlines'
'Aerotransporte Petrolero'
'Aero Flight'
'ACM Aviation'
'Aircompany Barcol'
'All Charter Limited'
'Appalachian Flying Service'
'Airpac'
'Aeropro'
'Aerolineas Pacifico Atlantico'
'Aspen Aviation'
'Aeropuma'
'Air Plan International'
'Arrow Air'
'Apex Air Cargo'
'APA Internacional'
'Aeroatlas'
'Aquila Air Ltd.'
'Air Queensland'
'Aluminum Company Of America'
'Aviones de Renta de Quintana Roo'
'AirQuarius Aviation'
'Aerodyne Charter Company'
'Arik Air'
'Avia Air N.V.'
'Air Routing International Corp.'
'Aerocondor'
'Aires'
'Aerolineas Argentinas'
'Arrowhead Airways'
'Aero Vics'
'Aerojet de Costa Rica'
'Antillana De Navegacion Aerea'
'Aeroservicios De San Luis'
'Aerosuper'
'Aero Link Air Services S.L.'
'Airlec - Air Aquitaine Transport'
'Aeromarket Express'
'Arrow Aviation Ltd.'
'RPA-Aviataxi Ltd.'
'Air Klaipeda'
'Armstrong Air'
'Air Armenia'
'Aeromet Servicios'
'Aerotal Aerolineas Territoriales de Colombia Ltda'
'Aravco Ltd.'
'Aria'
'Air Xpress'
'Airline Alania'
'Air Tchad'
'Aerloineas de Techuacan'
'Aerotransportes Huitzilin'
'Aero Transportes Del Humaya'
'Argosy Airways'
'Air Resorts'
'Alaska Airlines'
'Air-Spray 1967 Ltd.'
'Air Star Corporation'
'Air Sinai'
'Airstars'
'Air Schefferville'
'African Star Airways (PTY) Ltd.'
'Aerosun International'
'Air Satellite'
'Awesome Flight Services (PTY) Ltd.'
'Air and Sea Transport'
'Aero Slovakia'
'Airsprint'
'Atlantic Southeast Airlines'
'All Star Airlines'
'Air Class'
'Aerlineas Del Oeste'
'Aviones Are'
'Air Nepal International'
'Air Napier'
'Air Taxi & Cargo'
'Arrow Panama'
'Astravia-Bissau Air Transports Ltd.'
'Astrakhan Airlines'
'Air Transport Association'
'Atlantair Ltd.'
'Air Tanzania'
'Aerotours Dominicana'
'Atlantis Transportation Services'
