2018-Jun-29;Aero Commander Aircraft;520 Twin Commander;Piston;2;A;II;1A;64;no winglets;49.04;36.81;14.50;13.98;13.98;12.92;5,700;5,700;S;AC52;L;tbd;tbd;tbd;1,805
2018-Jun-29;Aero Commander Aircraft;560 and 560-A Twin Commander;Piston;2;A;II;1A;82;no winglets;49.04;36.81;14.50;13.98;13.98;12.92;6,000;6,000;S;AC56;L;tbd;tbd;a 560-A;1,805
2018-Jun-29;Aero Commander Aircraft;560-E Commander;Piston;2;A;II;1A;77;no winglets;51.71;36.81;14.50;13.98;13.98;12.92;6,500;6,500;S;AC56;L;tbd;tbd;same as 560 except > WS;1,904
tbd;Aero Commander Aircraft;560-F Commander;Piston;2;A;Greater than 262' WS;2;77;no winglets;same as 680F;tbd;tbd;16.71;16.71;15.42;7,500;7,500;S;AC56;L;tbd;tbd;680- E;#VALORE!
tbd;Aero Commander Aircraft;680 Commander;Piston;2;A;II;2;77;no winglets;49.04;tbd;tbd;16.71;16.71;15.42;7,000;7,000;S;AC68;L;tbd;tbd;a 560-A;#VALORE!
tbd;Aero Commander Aircraft;680-E Commander;Piston;2;A;II;2;77;no winglets;51.71;24.20;tbd;13.98;13.98;12.92;7,500;7,500;S;AC68;L;tbd;tbd;tbd;1,251
tbd;Aero Commander Aircraft;680-F Commander;Piston;2;A;II;2;77;no winglets;49.04;tbd;tbd;16.71;16.71;15.42;8,000;8,000;S;AC68;L;tbd;tbd;a 560-E but with 500 lbs lower and 560-A undercarriage;#VALORE!
tbd;Aero Commander Aircraft;"680-FL Grand Commander and 680-FL(P) Pressurized Grant Commander (in 1969 the FL(P) was dropped from production and FL aircraft named ""Courser"")";Piston;2;A;Greater than 262' WS;2;77;no winglets;same as 680F;stretched 680F;tbd;16.71;16.71;15.42;8,500;8,500;S;AC6L;L;tbd;tbd;FL is a stretched F;#VALORE!
2018-Jun-29;Aero Commander Aircraft;680-T Turbo Commander;Turboprop;2;B;I;2;98;no winglets;44.06;41.48;14.50;16.71;16.71;12.92;8,950;9,000;S;AC80;L;tbd;tbd;tbd;1,827
2018-Jun-29;Aero Commander Aircraft;680-V Turbo Commander;Turboprop;2;B;I;2;98;no winglets;44.06;41.48;14.50;16.71;16.71;12.92;9,400;9,450;S;AC80;L;tbd;tbd;tbd;1,827
2018-Jun-29;Aero Commander Aircraft;680-W Turbo Commander;Turboprop;2;B;I;2;98;no winglets;44.06;42.98;14.50;16.71;16.71;12.92;9,400;9,450;S;AC80;L;tbd;tbd;tbd;1,893
2018-Jun-29;Aero Commander Aircraft;681 Hawk Commander;Turboprop;2;B;I;2;100;no winglets;46.55;44.35;14.95;17.79;17.79;15.42;9,400;9,450;S;AC80;L;tbd;tbd;tbd;2,065
2018-Jun-29;Aero Commander Aircraft;685 Commander;Piston;2;B;I;2;98;no winglets;44.08;43.00;15.00;17.79;17.79;15.42;9,000;9,050;S;AC6L;L;tbd;tbd;tbd;1,896
2018-Jun-29;Aero Commander Aircraft;690/690-A Twin Commander;Turboprop;2;B;I;2;100;no winglets;46.55;44.35;14.95;17.79;17.79;15.42;10,250;10,300;S;AC90;L;tbd;tbd;tbd;2,065
2018-Jun-29;Aero Commander Aircraft;690-B Twin Commander;Turboprop;2;B;I;2;100;no winglets;46.55;44.35;14.95;17.79;17.79;15.42;10,325;10,375;S;AC90;L;tbd;tbd;tbd;2,065
2018-Jun-29;Aero Commander Aircraft;690-C JetProp 840;Turboprop;2;B;II;2;98;small winglets;52.12;42.98;14.95;17.79;17.79;15.42;10,325;10,375;S;AC90;L;tbd;tbd;tbd;2,240
2018-Jun-29;Aero Commander Aircraft;690-D JetProp 900;Turboprop;2;B;II;2;100;small winglets;52.12;42.98;14.95;17.79;17.79;15.42;10,700;10,775;S;AC90;L;tbd;tbd;tbd;2,240
2018-Jun-19;Aero Commander Aircraft;695 JetProp 900 (the 840 with 733 shp);Turboprop;2;B;II;2;98;small winglets;52.12;42.98;14.95;17.79;17.79;15.42;10,325;10,375;S;AC90;L;tbd;tbd;tbd;2,240
2018-Jun-19;Aero Commander Aircraft;695-A JetProp Commanger 1000;Turboprop;2;B;II;2;100;no winglets;52.12;42.98;14.95;17.79;17.79;15.42;11,200;11,250;S;AC95;L;tbd;tbd;tbd;2,240
2018-Jun-19;Aero Commander Aircraft;695-B JetProp Commanger 1000;Turboprop;2;B;II;2;100;no winglets;52.12;42.98;14.95;17.79;17.79;15.42;11,750;11,800;S;AC95;L;tbd;tbd;tbd;2,240
tbd;Aero Commander Aircraft;720 Alti Cruiser;Piston;2;A;II;2;81;no winglets;51.71;tbd;tbd;17.79;17.79;15.42;7,500;7,500;S;AC72;L;tbd;tbd;first flew 1957, first pressurized Aero C, only 13 made.  Same WS as 560-E.;#VALORE!
2018-Jul-3;Aero Commander Aircraft;A-9 Quail Commander (A9B-M);Piston;1;A;I;1A;60;no winglets;34.75;24.00;7.67;tbd;tbd;tbd;3,800;3,800;S;CLB1;L;tbd;tbd;tbd;834
;Aero Commander Aircraft;A-9 Sparrow Commanger;tbd;tbd;No Value;No Value;tbd;;tbd;;tbd;tbd;tbd;tbd;tbd;tbd;tbd;tbd;A9;L;tbd;tbd;tbd;#VALORE!
;Aero Commander Aircraft;Commander 100;tbd;tbd;No Value;No Value;tbd;;tbd;;tbd;tbd;tbd;tbd;tbd;tbd;tbd;tbd;VO10;L;tbd;tbd;tbd;#VALORE!
;Aero Commander Aircraft;Commander 200;tbd;tbd;No Value;No Value;tbd;;tbd;;tbd;tbd;tbd;tbd;tbd;tbd;tbd;tbd;M200;L;tbd;tbd;tbd;#VALORE!
